=========================== Final Schedule ===========================
Vessel : 0
 8 | 165.0 | 9.0 | 174.0
 12 | 174.0 | 4.0 | 178.0
 14 | 178.0 | 3.0 | 181.0
 15 | 181.0 | 3.0 | 184.0
 18 | 184.0 | 5.0 | 189.0
 22 | 189.0 | 5.0 | 194.0
Vessel : 40
 0 | 100.0 | 7.0 | 107.0
 3 | 107.0 | 4.0 | 111.0
 5 | 111.0 | 7.0 | 118.0
 7 | 118.0 | 9.0 | 127.0
 11 | 127.0 | 6.0 | 133.0
 13 | 133.0 | 3.0 | 136.0
 14 | 136.0 | 4.0 | 140.0
 16 | 140.0 | 3.0 | 143.0
 20 | 143.0 | 4.0 | 147.0
 22 | 147.0 | 3.0 | 150.0
Vessel : 41
 0 | 73.0 | 10.0 | 83.0
 2 | 83.0 | 8.0 | 91.0
 4 | 91.0 | 12.0 | 103.0
 7 | 103.0 | 6.0 | 109.0
 11 | 109.0 | 8.0 | 117.0
 13 | 117.0 | 3.0 | 120.0
 14 | 120.0 | 5.0 | 125.0
 16 | 125.0 | 3.0 | 128.0
 19 | 128.0 | 4.0 | 132.0
 21 | 132.0 | 4.0 | 136.0
Vessel : 42
 1 | 4.0 | 4.0 | 8.0
 2 | 8.0 | 3.0 | 11.0
 4 | 11.0 | 3.0 | 14.0
 6 | 14.0 | 5.0 | 19.0
 9 | 19.0 | 5.0 | 24.0
 13 | 24.0 | 3.0 | 27.0
 14 | 27.0 | 5.0 | 32.0
 15 | 32.0 | 5.0 | 37.0
 17 | 37.0 | 3.0 | 40.0
 21 | 40.0 | 5.0 | 45.0
Vessel : 43
 1 | 56.0 | 3.0 | 59.0
 2 | 59.0 | 9.0 | 68.0
 4 | 68.0 | 11.0 | 79.0
 6 | 79.0 | 4.0 | 83.0
 8 | 83.0 | 10.0 | 93.0
 12 | 93.0 | 4.0 | 97.0
 14 | 97.0 | 5.0 | 102.0
 16 | 102.0 | 3.0 | 105.0
 20 | 105.0 | 5.0 | 110.0
 22 | 110.0 | 5.0 | 115.0
Vessel : 44
 0 | 4.0 | 5.0 | 9.0
 3 | 9.0 | 4.0 | 13.0
 5 | 13.0 | 4.0 | 17.0
 6 | 17.0 | 5.0 | 22.0
 8 | 22.0 | 6.0 | 28.0
 12 | 28.0 | 4.0 | 32.0
 14 | 32.0 | 3.0 | 35.0
 16 | 35.0 | 4.0 | 39.0
 20 | 39.0 | 4.0 | 43.0
 22 | 43.0 | 3.0 | 46.0
Vessel : 45
 0 | 160.0 | 7.0 | 167.0
 2 | 167.0 | 10.0 | 177.0
 4 | 177.0 | 6.0 | 183.0
 7 | 183.0 | 9.0 | 192.0
 10 | 192.0 | 8.0 | 200.0
 12 | 200.0 | 3.0 | 203.0
 14 | 203.0 | 3.0 | 206.0
 15 | 206.0 | 4.0 | 210.0
 18 | 210.0 | 3.0 | 213.0
 22 | 213.0 | 3.0 | 216.0
Vessel : 46
 1 | 189.0 | 3.0 | 192.0
 3 | 192.0 | 5.0 | 197.0
 5 | 197.0 | 3.0 | 200.0
 7 | 200.0 | 3.0 | 203.0
 10 | 203.0 | 10.0 | 213.0
 12 | 213.0 | 5.0 | 218.0
 14 | 218.0 | 4.0 | 222.0
 15 | 222.0 | 5.0 | 227.0
 18 | 227.0 | 5.0 | 232.0
 22 | 232.0 | 5.0 | 237.0
Vessel : 47
 1 | 152.0 | 5.0 | 157.0
 3 | 157.0 | 4.0 | 161.0
 5 | 161.0 | 3.0 | 164.0
 7 | 164.0 | 3.0 | 167.0
 11 | 167.0 | 4.0 | 171.0
 13 | 171.0 | 5.0 | 176.0
 14 | 176.0 | 4.0 | 180.0
 16 | 180.0 | 4.0 | 184.0
 19 | 184.0 | 5.0 | 189.0
 21 | 189.0 | 5.0 | 194.0
Vessel : 48
 0 | 159.0 | 5.0 | 164.0
 2 | 164.0 | 6.0 | 170.0
 4 | 170.0 | 10.0 | 180.0
 6 | 180.0 | 5.0 | 185.0
 8 | 185.0 | 7.0 | 192.0
 12 | 192.0 | 5.0 | 197.0
